"Time","opctyngrppub01 : Actives"
2022-03-27 20:00:00,73.9
2022-03-27 22:00:00,119
2022-03-28 00:00:00,1281
2022-03-28 02:00:00,5496
2022-03-28 04:00:00,4676
2022-03-28 06:00:00,144
2022-03-28 08:00:00,379
2022-03-28 10:00:00,668
2022-03-28 12:00:00,501
2022-03-28 14:00:00,466
2022-03-28 16:00:00,481
2022-03-28 18:00:00,333
2022-03-28 20:00:00,209
2022-03-28 22:00:00,163
2022-03-29 00:00:00,1338
2022-03-29 02:00:00,5627
2022-03-29 04:00:00,4802
2022-03-29 06:00:00,189
2022-03-29 08:00:00,374
2022-03-29 10:00:00,655
2022-03-29 12:00:00,514
2022-03-29 14:00:00,482
2022-03-29 16:00:00,499
2022-03-29 18:00:00,336
2022-03-29 20:00:00,207
2022-03-29 22:00:00,175
2022-03-30 00:00:00,1341
2022-03-30 02:00:00,5613
2022-03-30 04:00:00,4782
2022-03-30 06:00:00,193
2022-03-30 08:00:00,370
2022-03-30 10:00:00,612
2022-03-30 12:00:00,473
2022-03-30 14:00:00,427
2022-03-30 16:00:00,452
2022-03-30 18:00:00,296
2022-03-30 20:00:00,170
2022-03-30 22:00:00,133
2022-03-31 00:00:00,1293
2022-03-31 02:00:00,5582
2022-03-31 04:00:00,4768
2022-03-31 06:00:00,137
2022-03-31 08:00:00,337
2022-03-31 10:00:00,616
2022-03-31 12:00:00,477
2022-03-31 14:00:00,424
2022-03-31 16:00:00,460
2022-03-31 18:00:00,322
2022-03-31 20:00:00,227
2022-03-31 22:00:00,188
2022-04-01 00:00:00,1347
2022-04-01 02:00:00,5637
2022-04-01 04:00:00,4835
2022-04-01 06:00:00,191
2022-04-01 08:00:00,388
2022-04-01 10:00:00,662
2022-04-01 12:00:00,548
2022-04-01 14:00:00,460
2022-04-01 16:00:00,483
2022-04-01 18:00:00,355
2022-04-01 20:00:00,247
2022-04-01 22:00:00,177
2022-04-02 00:00:00,1340
2022-04-02 02:00:00,5643
2022-04-02 04:00:00,4833
2022-04-02 06:00:00,169
2022-04-02 08:00:00,213
2022-04-02 10:00:00,279
2022-04-02 12:00:00,278
2022-04-02 14:00:00,229
2022-04-02 16:00:00,235
2022-04-02 18:00:00,231
2022-04-02 20:00:00,207
2022-04-02 22:00:00,171
2022-04-03 00:00:00,1334
2022-04-03 02:00:00,5644
2022-04-03 04:00:00,4786
2022-04-03 06:00:00,163
2022-04-03 08:00:00,173
2022-04-03 10:00:00,193
2022-04-03 12:00:00,204
2022-04-03 14:00:00,187
2022-04-03 16:00:00,191
2022-04-03 18:00:00,198
2022-04-03 20:00:00,183
2022-04-03 22:00:00,158
2022-04-04 00:00:00,1331
2022-04-04 02:00:00,5596
2022-04-04 04:00:00,4792
2022-04-04 06:00:00,184
2022-04-04 08:00:00,427
2022-04-04 10:00:00,694
2022-04-04 12:00:00,544
2022-04-04 14:00:00,483
2022-04-04 16:00:00,499
2022-04-04 18:00:00,330
2022-04-04 20:00:00,214
2022-04-04 22:00:00,173
2022-04-05 00:00:00,1345
2022-04-05 02:00:00,5640
2022-04-05 04:00:00,4824
2022-04-05 06:00:00,194
2022-04-05 08:00:00,402
2022-04-05 10:00:00,681
2022-04-05 12:00:00,502
2022-04-05 14:00:00,470
2022-04-05 16:00:00,522
2022-04-05 18:00:00,346
2022-04-05 20:00:00,274
2022-04-05 22:00:00,182
2022-04-06 00:00:00,1347
2022-04-06 02:00:00,5676
2022-04-06 04:00:00,4845
2022-04-06 06:00:00,193
2022-04-06 08:00:00,382
2022-04-06 10:00:00,619
2022-04-06 12:00:00,493
2022-04-06 14:00:00,447
2022-04-06 16:00:00,477
2022-04-06 18:00:00,345
2022-04-06 20:00:00,225
2022-04-06 22:00:00,175
2022-04-07 00:00:00,1351
2022-04-07 02:00:00,5665
2022-04-07 04:00:00,4877
2022-04-07 06:00:00,197
2022-04-07 08:00:00,384
2022-04-07 10:00:00,617
2022-04-07 12:00:00,512
2022-04-07 14:00:00,486
2022-04-07 16:00:00,509
2022-04-07 18:00:00,358
2022-04-07 20:00:00,222
2022-04-07 22:00:00,176
2022-04-08 00:00:00,1357
2022-04-08 02:00:00,5696
2022-04-08 04:00:00,4874
2022-04-08 06:00:00,185
2022-04-08 08:00:00,380
2022-04-08 10:00:00,650
2022-04-08 12:00:00,554
2022-04-08 14:00:00,479
2022-04-08 16:00:00,533
2022-04-08 18:00:00,415
2022-04-08 20:00:00,289
2022-04-08 22:00:00,205
2022-04-09 00:00:00,1374
2022-04-09 02:00:00,5728
2022-04-09 04:00:00,4886
2022-04-09 06:00:00,163
2022-04-09 08:00:00,209
2022-04-09 10:00:00,287
2022-04-09 12:00:00,276
2022-04-09 14:00:00,241
2022-04-09 16:00:00,278
2022-04-09 18:00:00,253
2022-04-09 20:00:00,215
2022-04-09 22:00:00,180
2022-04-10 00:00:00,1365
2022-04-10 02:00:00,5683
2022-04-10 04:00:00,4840
2022-04-10 06:00:00,155
2022-04-10 08:00:00,168
2022-04-10 10:00:00,198
2022-04-10 12:00:00,213
2022-04-10 14:00:00,191
2022-04-10 16:00:00,198
2022-04-10 18:00:00,215
2022-04-10 20:00:00,197
2022-04-10 22:00:00,168
2022-04-11 00:00:00,1353
2022-04-11 02:00:00,5681
2022-04-11 04:00:00,4822
2022-04-11 06:00:00,197
2022-04-11 08:00:00,419
2022-04-11 10:00:00,632
2022-04-11 12:00:00,482
2022-04-11 14:00:00,460
2022-04-11 16:00:00,510
2022-04-11 18:00:00,341
2022-04-11 20:00:00,219
2022-04-11 22:00:00,208
2022-04-12 00:00:00,1366
2022-04-12 02:00:00,5717
2022-04-12 04:00:00,4898
2022-04-12 06:00:00,202
2022-04-12 08:00:00,383
2022-04-12 10:00:00,668
2022-04-12 12:00:00,561
2022-04-12 14:00:00,496
2022-04-12 16:00:00,512
2022-04-12 18:00:00,364
2022-04-12 20:00:00,231
2022-04-12 22:00:00,188
2022-04-13 00:00:00,1384
2022-04-13 02:00:00,5735
2022-04-13 04:00:00,4914
2022-04-13 06:00:00,204
2022-04-13 08:00:00,374
2022-04-13 10:00:00,619
2022-04-13 12:00:00,503
2022-04-13 14:00:00,488
2022-04-13 16:00:00,527
2022-04-13 18:00:00,362
2022-04-13 20:00:00,223
2022-04-13 22:00:00,185
2022-04-14 00:00:00,1387
2022-04-14 02:00:00,5757
2022-04-14 04:00:00,4914
2022-04-14 06:00:00,200
2022-04-14 08:00:00,383
2022-04-14 10:00:00,633
2022-04-14 12:00:00,531
2022-04-14 14:00:00,460
2022-04-14 16:00:00,485
2022-04-14 18:00:00,370
2022-04-14 20:00:00,235
2022-04-14 22:00:00,194
2022-04-15 00:00:00,1391
2022-04-15 02:00:00,5743
2022-04-15 04:00:00,4901
2022-04-15 06:00:00,190
2022-04-15 08:00:00,356
2022-04-15 10:00:00,590
2022-04-15 12:00:00,499
2022-04-15 14:00:00,422
2022-04-15 16:00:00,424
2022-04-15 18:00:00,325
2022-04-15 20:00:00,239
2022-04-15 22:00:00,186
2022-04-16 00:00:00,1386
2022-04-16 02:00:00,5739
2022-04-16 04:00:00,4907
2022-04-16 06:00:00,166
2022-04-16 08:00:00,211
2022-04-16 10:00:00,285
2022-04-16 12:00:00,272
2022-04-16 14:00:00,240
2022-04-16 16:00:00,249
2022-04-16 18:00:00,257
2022-04-16 20:00:00,216
2022-04-16 22:00:00,178
2022-04-17 00:00:00,1388
2022-04-17 02:00:00,5706
2022-04-17 04:00:00,4863
2022-04-17 06:00:00,171
2022-04-17 08:00:00,171
2022-04-17 10:00:00,204
2022-04-17 12:00:00,216
2022-04-17 14:00:00,193
2022-04-17 16:00:00,196
2022-04-17 18:00:00,215
2022-04-17 20:00:00,192
2022-04-17 22:00:00,176
2022-04-18 00:00:00,1380
2022-04-18 02:00:00,5726
2022-04-18 04:00:00,4871
2022-04-18 06:00:00,170
2022-04-18 08:00:00,181
2022-04-18 10:00:00,221
2022-04-18 12:00:00,228
2022-04-18 14:00:00,211
2022-04-18 16:00:00,208
2022-04-18 18:00:00,211
2022-04-18 20:00:00,197
2022-04-18 22:00:00,168
2022-04-19 00:00:00,1377
2022-04-19 02:00:00,5694
2022-04-19 04:00:00,4859
2022-04-19 06:00:00,193
2022-04-19 08:00:00,410
2022-04-19 10:00:00,829
2022-04-19 12:00:00,1206
2022-04-19 14:00:00,2106
2022-04-19 16:00:00,1360
2022-04-19 18:00:00,362
2022-04-19 20:00:00,224
2022-04-19 22:00:00,173
2022-04-20 00:00:00,1383
2022-04-20 02:00:00,5760
2022-04-20 04:00:00,4923
2022-04-20 06:00:00,195
2022-04-20 08:00:00,380
2022-04-20 10:00:00,625
2022-04-20 12:00:00,471
2022-04-20 14:00:00,410
2022-04-20 16:00:00,455
2022-04-20 18:00:00,345
2022-04-20 20:00:00,223
2022-04-20 22:00:00,181
2022-04-21 00:00:00,1392
2022-04-21 02:00:00,5764
2022-04-21 04:00:00,4917
2022-04-21 06:00:00,185
2022-04-21 08:00:00,381
2022-04-21 10:00:00,634
2022-04-21 12:00:00,497
2022-04-21 14:00:00,464
2022-04-21 16:00:00,477
2022-04-21 18:00:00,338
2022-04-21 20:00:00,227
2022-04-21 22:00:00,178
2022-04-22 00:00:00,1403
2022-04-22 02:00:00,5804
2022-04-22 04:00:00,4938
2022-04-22 06:00:00,192
2022-04-22 08:00:00,365
2022-04-22 10:00:00,579
2022-04-22 12:00:00,461
2022-04-22 14:00:00,419
2022-04-22 16:00:00,470
2022-04-22 18:00:00,347
2022-04-22 20:00:00,230
2022-04-22 22:00:00,174
2022-04-23 00:00:00,1388
2022-04-23 02:00:00,5754
2022-04-23 04:00:00,4936
2022-04-23 06:00:00,163
2022-04-23 08:00:00,206
2022-04-23 10:00:00,293
2022-04-23 12:00:00,293
2022-04-23 14:00:00,259
2022-04-23 16:00:00,253
2022-04-23 18:00:00,259
2022-04-23 20:00:00,217
2022-04-23 22:00:00,180
2022-04-24 00:00:00,1399
2022-04-24 02:00:00,5753
2022-04-24 04:00:00,4882
2022-04-24 06:00:00,165
2022-04-24 08:00:00,187
2022-04-24 10:00:00,204
2022-04-24 12:00:00,217
2022-04-24 14:00:00,198
2022-04-24 16:00:00,207
2022-04-24 18:00:00,216
2022-04-24 20:00:00,196
2022-04-24 22:00:00,173
2022-04-25 00:00:00,1390
2022-04-25 02:00:00,5731
2022-04-25 04:00:00,4878
2022-04-25 06:00:00,200
2022-04-25 08:00:00,450
2022-04-25 10:00:00,665
2022-04-25 12:00:00,480
2022-04-25 14:00:00,448
2022-04-25 16:00:00,509
2022-04-25 18:00:00,367
2022-04-25 20:00:00,233
2022-04-25 22:00:00,171
2022-04-26 00:00:00,1401
2022-04-26 02:00:00,5798
2022-04-26 04:00:00,4948
2022-04-26 06:00:00,196
2022-04-26 08:00:00,398
2022-04-26 10:00:00,1769
2022-04-26 12:00:00,802
2022-04-26 14:00:00,495
2022-04-26 16:00:00,560
2022-04-26 18:00:00,399
2022-04-26 20:00:00,227
2022-04-26 22:00:00,185
2022-04-27 00:00:00,1406
2022-04-27 02:00:00,5819
2022-04-27 04:00:00,4949
2022-04-27 06:00:00,203
2022-04-27 08:00:00,396
2022-04-27 10:00:00,649
2022-04-27 12:00:00,524
2022-04-27 14:00:00,480
2022-04-27 16:00:00,513
2022-04-27 18:00:00,368
2022-04-27 20:00:00,221
2022-04-27 22:00:00,186
2022-04-28 00:00:00,1409
2022-04-28 02:00:00,5843
2022-04-28 04:00:00,4937
2022-04-28 06:00:00,197
2022-04-28 08:00:00,393
2022-04-28 10:00:00,639
2022-04-28 12:00:00,514
2022-04-28 14:00:00,495
2022-04-28 16:00:00,516
2022-04-28 18:00:00,369
2022-04-28 20:00:00,255
2022-04-28 22:00:00,224
2022-04-29 00:00:00,1422
2022-04-29 02:00:00,5859
2022-04-29 04:00:00,4964
2022-04-29 06:00:00,208
2022-04-29 08:00:00,376
2022-04-29 10:00:00,650
2022-04-29 12:00:00,530
2022-04-29 14:00:00,452
2022-04-29 16:00:00,475
2022-04-29 18:00:00,359
2022-04-29 20:00:00,235
2022-04-29 22:00:00,187
2022-04-30 00:00:00,1415
2022-04-30 02:00:00,5833
2022-04-30 04:00:00,4942
2022-04-30 06:00:00,175
2022-04-30 08:00:00,210
2022-04-30 10:00:00,289
2022-04-30 12:00:00,288
2022-04-30 14:00:00,239
2022-04-30 16:00:00,240
2022-04-30 18:00:00,254
2022-04-30 20:00:00,224
2022-04-30 22:00:00,181
2022-05-01 00:00:00,1409
2022-05-01 02:00:00,5803
2022-05-01 04:00:00,4919
2022-05-01 06:00:00,166
2022-05-01 08:00:00,191
2022-05-01 10:00:00,251
2022-05-01 12:00:00,258
2022-05-01 14:00:00,235
2022-05-01 16:00:00,238
2022-05-01 18:00:00,245
2022-05-01 20:00:00,237
2022-05-01 22:00:00,223
2022-05-02 00:00:00,1450
2022-05-02 02:00:00,5853
2022-05-02 04:00:00,4964
2022-05-02 06:00:00,247
2022-05-02 08:00:00,473
2022-05-02 10:00:00,677
2022-05-02 12:00:00,510
2022-05-02 14:00:00,473
2022-05-02 16:00:00,517
2022-05-02 18:00:00,391
2022-05-02 20:00:00,256
2022-05-02 22:00:00,226
2022-05-03 00:00:00,1467
2022-05-03 02:00:00,5883
2022-05-03 04:00:00,5006
2022-05-03 06:00:00,239
2022-05-03 08:00:00,435
2022-05-03 10:00:00,701
2022-05-03 12:00:00,551
2022-05-03 14:00:00,509
2022-05-03 16:00:00,569
2022-05-03 18:00:00,416
2022-05-03 20:00:00,283
2022-05-03 22:00:00,264
2022-05-04 00:00:00,1465
2022-05-04 02:00:00,5901
2022-05-04 04:00:00,5042
2022-05-04 06:00:00,246
2022-05-04 08:00:00,435
2022-05-04 10:00:00,658
2022-05-04 12:00:00,495
2022-05-04 14:00:00,489
2022-05-04 16:00:00,527
2022-05-04 18:00:00,404
2022-05-04 20:00:00,274
2022-05-04 22:00:00,236
2022-05-05 00:00:00,1467
2022-05-05 02:00:00,5922
2022-05-05 04:00:00,5061
2022-05-05 06:00:00,248
2022-05-05 08:00:00,434
2022-05-05 10:00:00,681
2022-05-05 12:00:00,538
2022-05-05 14:00:00,502
2022-05-05 16:00:00,566
2022-05-05 18:00:00,414
2022-05-05 20:00:00,260
2022-05-05 22:00:00,180
2022-05-06 00:00:00,1420
2022-05-06 02:00:00,5888
2022-05-06 04:00:00,5013
2022-05-06 06:00:00,193
2022-05-06 08:00:00,374
2022-05-06 10:00:00,620
2022-05-06 12:00:00,518
2022-05-06 14:00:00,430
2022-05-06 16:00:00,464
2022-05-06 18:00:00,329
2022-05-06 20:00:00,235
2022-05-06 22:00:00,187
2022-05-07 00:00:00,1422
2022-05-07 02:00:00,5889
2022-05-07 04:00:00,4987
2022-05-07 06:00:00,168
2022-05-07 08:00:00,205
2022-05-07 10:00:00,286
2022-05-07 12:00:00,256
2022-05-07 14:00:00,227
2022-05-07 16:00:00,236
2022-05-07 18:00:00,224
2022-05-07 20:00:00,198
2022-05-07 22:00:00,170
2022-05-08 00:00:00,1419
2022-05-08 02:00:00,5870
2022-05-08 04:00:00,4964
2022-05-08 06:00:00,159
2022-05-08 08:00:00,173
2022-05-08 10:00:00,208
2022-05-08 12:00:00,214
2022-05-08 14:00:00,192
2022-05-08 16:00:00,193
2022-05-08 18:00:00,200
2022-05-08 20:00:00,188
2022-05-08 22:00:00,172
2022-05-09 00:00:00,1420
2022-05-09 02:00:00,5827
2022-05-09 04:00:00,4959
2022-05-09 06:00:00,202
2022-05-09 08:00:00,419
2022-05-09 10:00:00,680
2022-05-09 12:00:00,520
2022-05-09 14:00:00,483
2022-05-09 16:00:00,493
2022-05-09 18:00:00,312
2022-05-09 20:00:00,183
2022-05-09 22:00:00,1632
2022-05-10 00:00:00,1530
2022-05-10 02:00:00,5827
2022-05-10 04:00:00,4964
2022-05-10 06:00:00,153
2022-05-10 08:00:00,354
2022-05-10 10:00:00,546
2022-05-10 12:00:00,454
2022-05-10 14:00:00,431
2022-05-10 16:00:00,436
2022-05-10 18:00:00,292
2022-05-10 20:00:00,183
2022-05-10 22:00:00,152
2022-05-11 00:00:00,1387
2022-05-11 02:00:00,5880
2022-05-11 04:00:00,5014
2022-05-11 06:00:00,146
2022-05-11 08:00:00,351
2022-05-11 10:00:00,594
2022-05-11 12:00:00,456
2022-05-11 14:00:00,378
2022-05-11 16:00:00,395
2022-05-11 22:00:00,165
2022-05-12 00:00:00,1391
2022-05-12 02:00:00,5866
2022-05-12 04:00:00,5026
2022-05-12 06:00:00,151
2022-05-12 08:00:00,339
2022-05-12 10:00:00,567
2022-05-12 12:00:00,433
2022-05-12 14:00:00,407
2022-05-12 16:00:00,429
2022-05-12 18:00:00,296
2022-05-12 20:00:00,193
2022-05-12 22:00:00,207
2022-05-13 00:00:00,1395
2022-05-13 02:00:00,5874
2022-05-13 04:00:00,5027
2022-05-13 06:00:00,153
2022-05-13 08:00:00,333
2022-05-13 10:00:00,562
2022-05-13 12:00:00,428
2022-05-13 14:00:00,399
2022-05-13 16:00:00,402
2022-05-13 18:00:00,291
2022-05-13 20:00:00,191
2022-05-13 22:00:00,143
2022-05-14 00:00:00,1396
2022-05-14 02:00:00,5882
2022-05-14 04:00:00,5019
2022-05-14 06:00:00,131
2022-05-14 08:00:00,168
2022-05-14 10:00:00,243
2022-05-14 12:00:00,231
2022-05-14 14:00:00,196
2022-05-14 16:00:00,196
2022-05-14 18:00:00,201
2022-05-14 20:00:00,169
2022-05-14 22:00:00,135
2022-05-15 00:00:00,1399
2022-05-15 02:00:00,5868
2022-05-15 04:00:00,5023
2022-05-15 06:00:00,127
2022-05-15 08:00:00,141
2022-05-15 10:00:00,168
2022-05-15 12:00:00,182
2022-05-15 14:00:00,152
2022-05-15 16:00:00,166
2022-05-15 18:00:00,186
2022-05-15 20:00:00,174
2022-05-15 22:00:00,158
2022-05-16 00:00:00,1394
2022-05-16 02:00:00,5816
2022-05-16 04:00:00,4979
2022-05-16 06:00:00,162
2022-05-16 08:00:00,400
2022-05-16 10:00:00,630
2022-05-16 12:00:00,433
2022-05-16 14:00:00,409
2022-05-16 16:00:00,419
2022-05-16 18:00:00,287
2022-05-16 20:00:00,179
2022-05-16 22:00:00,143
2022-05-17 00:00:00,1410
2022-05-17 02:00:00,7064
2022-05-17 04:00:00,6620
2022-05-17 06:00:00,154
2022-05-17 08:00:00,349
2022-05-17 10:00:00,570
2022-05-17 12:00:00,431
2022-05-17 14:00:00,401
2022-05-17 16:00:00,433
2022-05-17 18:00:00,303
2022-05-17 20:00:00,199
2022-05-17 22:00:00,154
2022-05-18 00:00:00,1395
2022-05-18 02:00:00,5943
2022-05-18 04:00:00,5119
2022-05-18 06:00:00,158
2022-05-18 08:00:00,347
2022-05-18 10:00:00,571
2022-05-18 12:00:00,430
2022-05-18 14:00:00,389
2022-05-18 16:00:00,462
2022-05-18 18:00:00,319
2022-05-18 20:00:00,191
2022-05-18 22:00:00,146
2022-05-19 00:00:00,1408
2022-05-19 02:00:00,5896
2022-05-19 04:00:00,5034
2022-05-19 06:00:00,168
2022-05-19 08:00:00,375
2022-05-19 10:00:00,634
2022-05-19 12:00:00,486
2022-05-19 14:00:00,424
2022-05-19 16:00:00,454
2022-05-19 18:00:00,328
2022-05-19 20:00:00,191
2022-05-19 22:00:00,140
2022-05-20 00:00:00,1404
2022-05-20 02:00:00,5956
2022-05-20 04:00:00,5078
2022-05-20 06:00:00,165
2022-05-20 08:00:00,355
2022-05-20 10:00:00,573
2022-05-20 12:00:00,467
2022-05-20 14:00:00,467
2022-05-20 16:00:00,504
2022-05-20 18:00:00,330
2022-05-20 20:00:00,215
2022-05-20 22:00:00,148
2022-05-21 00:00:00,1412
2022-05-21 02:00:00,5932
2022-05-21 04:00:00,5065
2022-05-21 06:00:00,146
2022-05-21 08:00:00,176
2022-05-21 10:00:00,251
2022-05-21 12:00:00,235
2022-05-21 14:00:00,204
2022-05-21 16:00:00,207
2022-05-21 18:00:00,212
2022-05-21 20:00:00,170
2022-05-21 22:00:00,136
2022-05-22 00:00:00,1411
2022-05-22 02:00:00,5895
2022-05-22 04:00:00,5022
2022-05-22 06:00:00,124
2022-05-22 08:00:00,142
2022-05-22 10:00:00,162
2022-05-22 12:00:00,177
2022-05-22 14:00:00,155
2022-05-22 16:00:00,162
2022-05-22 18:00:00,171
2022-05-22 20:00:00,158
2022-05-22 22:00:00,143
2022-05-23 00:00:00,1411
2022-05-23 02:00:00,5891
2022-05-23 04:00:00,4993
2022-05-23 06:00:00,165
2022-05-23 08:00:00,419
2022-05-23 10:00:00,682
2022-05-23 12:00:00,507
2022-05-23 14:00:00,443
2022-05-23 16:00:00,466
2022-05-23 18:00:00,321
2022-05-23 20:00:00,182
2022-05-23 22:00:00,142
2022-05-24 00:00:00,1448
2022-05-24 02:00:00,12383
2022-05-24 04:00:00,14242
2022-05-24 06:00:00,179
2022-05-24 08:00:00,377
2022-05-24 10:00:00,642
2022-05-24 12:00:00,482
2022-05-24 14:00:00,479
2022-05-24 16:00:00,479
2022-05-24 18:00:00,341
2022-05-24 20:00:00,205
2022-05-24 22:00:00,156
2022-05-25 00:00:00,1410
2022-05-25 02:00:00,6609
2022-05-25 04:00:00,5656
2022-05-25 06:00:00,177
2022-05-25 08:00:00,361
2022-05-25 10:00:00,584
2022-05-25 12:00:00,441
2022-05-25 14:00:00,382
2022-05-25 16:00:00,424
2022-05-25 18:00:00,327
2022-05-25 20:00:00,201
2022-05-25 22:00:00,144
2022-05-26 00:00:00,1410
2022-05-26 02:00:00,6008
2022-05-26 04:00:00,5062
2022-05-26 06:00:00,132
2022-05-26 08:00:00,153
2022-05-26 10:00:00,215
2022-05-26 12:00:00,210
2022-05-26 14:00:00,195
2022-05-26 16:00:00,202
2022-05-26 18:00:00,211
2022-05-26 20:00:00,177
2022-05-26 22:00:00,144
2022-05-27 00:00:00,1410
2022-05-27 02:00:00,5976
2022-05-27 04:00:00,5021
2022-05-27 06:00:00,144
2022-05-27 08:00:00,247
2022-05-27 10:00:00,409
2022-05-27 12:00:00,345
2022-05-27 14:00:00,296
2022-05-27 16:00:00,300
2022-05-27 18:00:00,245
2022-05-27 20:00:00,182
2022-05-27 22:00:00,138
2022-05-28 00:00:00,1416
2022-05-28 02:00:00,5968
2022-05-28 04:00:00,4997
2022-05-28 06:00:00,130
2022-05-28 08:00:00,166
2022-05-28 10:00:00,237
2022-05-28 12:00:00,234
2022-05-28 14:00:00,200
2022-05-28 16:00:00,206
2022-05-28 18:00:00,225
2022-05-28 20:00:00,193
2022-05-28 22:00:00,142
2022-05-29 00:00:00,1415
2022-05-29 02:00:00,5970
2022-05-29 04:00:00,5003
2022-05-29 06:00:00,129
2022-05-29 08:00:00,138
2022-05-29 10:00:00,168
2022-05-29 12:00:00,167
2022-05-29 14:00:00,158
2022-05-29 16:00:00,165
2022-05-29 18:00:00,169
2022-05-29 20:00:00,150
2022-05-29 22:00:00,135
2022-05-30 00:00:00,1410
2022-05-30 02:00:00,5929
2022-05-30 04:00:00,5006
2022-05-30 06:00:00,177
2022-05-30 08:00:00,389
2022-05-30 10:00:00,634
2022-05-30 12:00:00,471
2022-05-30 14:00:00,446
2022-05-30 16:00:00,464
2022-05-30 18:00:00,308
2022-05-30 20:00:00,178
2022-05-30 22:00:00,146
2022-05-31 00:00:00,1412
2022-05-31 02:00:00,6009
2022-05-31 04:00:00,5121
2022-05-31 06:00:00,175
2022-05-31 08:00:00,391
2022-05-31 10:00:00,683
2022-05-31 12:00:00,531
2022-05-31 14:00:00,436
2022-05-31 16:00:00,566
2022-05-31 18:00:00,337
2022-05-31 20:00:00,203
2022-05-31 22:00:00,158
2022-06-01 00:00:00,2900
2022-06-01 02:00:00,7875
2022-06-01 04:00:00,5155
2022-06-01 06:00:00,172
2022-06-01 08:00:00,360
2022-06-01 10:00:00,628
2022-06-01 12:00:00,517
2022-06-01 14:00:00,444
2022-06-01 16:00:00,495
2022-06-01 18:00:00,330
2022-06-01 20:00:00,192
2022-06-01 22:00:00,146
2022-06-02 00:00:00,1487
2022-06-02 02:00:00,6228
2022-06-02 04:00:00,5108
2022-06-02 06:00:00,171
2022-06-02 08:00:00,380
2022-06-02 10:00:00,650
2022-06-02 12:00:00,553
2022-06-02 14:00:00,500
2022-06-02 16:00:00,506
2022-06-02 18:00:00,348
2022-06-02 20:00:00,219
2022-06-02 22:00:00,188
2022-06-03 00:00:00,1437
2022-06-03 02:00:00,6080
2022-06-03 04:00:00,5129
2022-06-03 06:00:00,168
2022-06-03 08:00:00,379
2022-06-03 10:00:00,642
2022-06-03 12:00:00,501
2022-06-03 14:00:00,429
2022-06-03 16:00:00,473
2022-06-03 18:00:00,321
2022-06-03 20:00:00,208
2022-06-03 22:00:00,159
2022-06-04 00:00:00,1434
2022-06-04 02:00:00,6050
2022-06-04 04:00:00,5129
2022-06-04 06:00:00,177
2022-06-04 08:00:00,198
2022-06-04 10:00:00,249
2022-06-04 12:00:00,243
2022-06-04 14:00:00,205
2022-06-04 16:00:00,224
2022-06-04 18:00:00,253
2022-06-04 20:00:00,207
